convenience_store,fips_state_county_tract_code,gas_station,meal_delivery,meal_takeaway,park,subway_station,supermarket,train_station
6.0,36005040702,4.0,5.0,5.0,23.0,4.0,5.0,2.0
12.0,36005040800,6.0,2.0,2.0,4.0,3.0,2.0,1.0
3.0,36005040900,4.0,2.0,2.0,8.0,2.0,6.0,0.0
5.0,36005041100,5.0,2.0,3.0,7.0,3.0,3.0,0.0
9.0,36005041300,7.0,5.0,4.0,7.0,4.0,5.0,1.0
6.0,36005041400,4.0,2.0,5.0,3.0,2.0,1.0,1.0
5.0,36005041500,7.0,5.0,4.0,12.0,3.0,6.0,1.0
10.0,36005041800,5.0,5.0,5.0,3.0,2.0,3.0,1.0
12.0,36005041900,5.0,6.0,4.0,9.0,4.0,7.0,1.0
12.0,36005042000,6.0,3.0,1.0,4.0,2.0,3.0,1.0
7.0,36005042100,1.0,4.0,4.0,9.0,3.0,6.0,0.0
9.0,36005042200,1.0,3.0,1.0,2.0,2.0,5.0,0.0
10.0,36005042300,6.0,7.0,4.0,10.0,2.0,7.0,1.0
3.0,36005042400,3.0,2.0,0.0,2.0,1.0,3.0,0.0
8.0,36005042500,4.0,3.0,3.0,17.0,1.0,5.0,1.0
3.0,36005042600,3.0,0.0,0.0,2.0,1.0,2.0,0.0
3.0,36005042800,3.0,1.0,2.0,3.0,0.0,2.0,0.0
8.0,36005042901,7.0,5.0,3.0,11.0,1.0,5.0,1.0
8.0,36005042902,7.0,6.0,4.0,9.0,2.0,6.0,1.0
5.0,36005043000,1.0,3.0,2.0,2.0,2.0,4.0,0.0
7.0,36005043100,0.0,4.0,3.0,8.0,2.0,5.0,1.0
10.0,36005043400,1.0,3.0,4.0,2.0,2.0,3.0,1.0
0.0,36005043500,2.0,4.0,0.0,7.0,0.0,2.0,0.0
7.0,36005043600,2.0,2.0,4.0,2.0,2.0,2.0,0.0
4.0,36005044200,2.0,0.0,2.0,1.0,1.0,2.0,0.0
1.0,36005044400,3.0,0.0,2.0,2.0,0.0,2.0,0.0
2.0,36005044800,4.0,0.0,0.0,2.0,0.0,1.0,0.0
5.0,36005044901,6.0,2.0,2.0,3.0,0.0,0.0,0.0
5.0,36005044902,9.0,3.0,3.0,5.0,0.0,0.0,1.0
6.0,36005045101,7.0,4.0,5.0,3.0,1.0,1.0,1.0
7.0,36005045102,11.0,3.0,3.0,5.0,0.0,0.0,1.0
1.0,36005045600,4.0,0.0,5.0,1.0,1.0,0.0,0.0
2.0,36005045800,5.0,1.0,0.0,4.0,0.0,3.0,0.0
5.0,36005046000,5.0,0.0,1.0,5.0,1.0,3.0,0.0
5.0,36005046201,0.0,0.0,5.0,5.0,0.0,1.0,0.0
6.0,36005046202,6.0,0.0,3.0,5.0,1.0,2.0,0.0
2.0,36005048400,4.0,0.0,1.0,2.0,1.0,1.0,0.0
0.0,36005050400,0.0,0.0,0.0,4.0,0.0,0.0,0.0
0.0,36005051600,1.0,0.0,0.0,6.0,0.0,0.0,0.0
5.0,36047000100,0.0,7.0,13.0,56.0,5.0,4.0,0.0
10.0,36047000200,4.0,4.0,3.0,6.0,2.0,8.0,0.0
7.0,36047000301,0.0,2.0,8.0,49.0,4.0,4.0,0.0
11.0,36047000501,0.0,8.0,18.0,54.0,8.0,6.0,0.0
12.0,36047000502,1.0,9.0,18.0,48.0,7.0,5.0,0.0
10.0,36047000700,0.0,11.0,9.0,35.0,2.0,5.0,0.0
15.0,36047000900,0.0,11.0,22.0,23.0,8.0,7.0,0.0
16.0,36047001100,1.0,11.0,21.0,24.0,11.0,6.0,0.0
9.0,36047001300,1.0,6.0,20.0,48.0,9.0,5.0,0.0
10.0,36047001500,1.0,7.0,12.0,18.0,8.0,3.0,0.0
1.0,36047001800,3.0,3.0,3.0,8.0,0.0,2.0,0.0
6.0,36005022404,5.0,3.0,6.0,6.0,3.0,4.0,0.0
13.0,36005022500,4.0,0.0,6.0,24.0,2.0,7.0,0.0
